Timestamp,Nama Tempat Makan,Lokasi Tempat Makan,Nama Menu,Kategori Tempat,Harga,Kategori Harga,Tujuan Makan,Lauk/Bahan Utama,Rasa,Waktu Makan,Waktu Makan
6/2/2026 20:43:17,Kedai Wakamsi,Klentengsari,Nasi Ayam Asam Manis,Burjo,18000,Sedang,Kenyang,"Ayam, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:44:21,Kedai Wakamsi,Klentengsari,Nasi Cumi Asam Manis,Burjo,"20,000",Sedang,Kenyang,"Seafood, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:45:25,Kedai Wakamsi,Klentengsari,Nasi Ayam Cabe Garam,Burjo,"18,000",Sedang,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:46:29,Kedai Wakamsi,Klentengsari,Nasi Cumi Cabe Garam,Burjo,"20,000",Sedang,Kenyang,"Seafood, Nasi","Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:47:33,Kedai Wakamsi,Klentengsari,Nasi Ayam Mentega,Burjo,"18,000",Sedang,Kenyang,"Ayam, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:48:37,Kedai Wakamsi,Klentengsari,Nasi Cumi Mentega,Burjo,"20,000",Sedang,Kenyang,"Seafood, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:49:41,Kedai Wakamsi,Klentengsari,Nasi Ayam Wakamsi,Burjo,"18,000",Sedang,Kenyang,"Ayam, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:50:45,Kedai Wakamsi,Klentengsari,Nasi Cumi Wakamsi,Burjo,"20,000",Sedang,Kenyang,"Seafood, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:51:49,Kedai Wakamsi,Klentengsari,Nasi Ayam Bali,Burjo,"15,000",Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:52:53,Kedai Wakamsi,Klentengsari,Nasi Ayam Bali Crispy,Burjo,"17,000",Sedang,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:53:57,Kedai Wakamsi,Klentengsari,Nasi Orak Arik Ayam,Burjo,"16,000",Sedang,Kenyang,"Ayam, Telur, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:55:01,Kedai Wakamsi,Klentengsari,Nasi Ayam Geprek Lumer,Burjo,"16,000",Sedang,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:56:05,Kedai Wakamsi,Klentengsari,Gongso Kuah Ayam,Burjo,"17,000",Sedang,Kenyang,Ayam,"Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:57:09,Kedai Wakamsi,Klentengsari,Gongso Kuah Telur,Burjo,"15,000",Hemat,Kenyang,Telur,"Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:58:13,Kedai Wakamsi,Klentengsari,Nasi Sarden,Burjo,"16,000",Sedang,Kenyang,"Ikan, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:59:17,Kedai Wakamsi,Klentengsari,Nasi Omelet,Burjo,"16,000",Sedang,Kenyang,"Telur, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:00:21,Kedai Wakamsi,Klentengsari,Nasi Omelet Lumer,Burjo,"18,000",Sedang,Kenyang,"Telur, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:01:25,Kedai Wakamsi,Klentengsari,Kwetiau Ayam,Burjo,"20,000",Sedang,Kenyang,"Ayam, Mie","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:02:29,Kedai Wakamsi,Klentengsari,Kwetiau Seafood Goreng,Burjo,"22,000",Sedang,Kenyang,"Seafood, Mie","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:03:33,Kedai Wakamsi,Klentengsari,Kwetiau Seafood Rebus,Burjo,"22,000",Sedang,Kenyang,"Seafood, Mie","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:04:37,Kedai Wakamsi,Klentengsari,Mie Bangladesh,Burjo,"14,000",Hemat,Kenyang,"Telur, Mie","Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:05:41,Kedai Wakamsi,Klentengsari,Nasi Goreng Telur Sosis,Burjo,"15,000",Hemat,Kenyang,"Telur, Nasi,  Sosis","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:06:45,Kedai Wakamsi,Klentengsari,Nasi Goreng Wakamsi,Burjo,"17,000",Sedang,Kenyang,"Telur, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:07:49,Kedai Wakamsi,Klentengsari,Nasi Goreng Seafood,Burjo,"22,000",Sedang,Kenyang,"Seafood, Nasi","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:08:53,Kedai Wakamsi,Klentengsari,Mix Platter,Burjo,"15,000",Hemat,Cemilan,Kentang,"Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:09:57,Kedai Wakamsi,Klentengsari,French Fries,Burjo,"10,000",Sangat Hemat,Cemilan,Kentang,"Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 21:11:01,Kedai Wakamsi,Klentengsari,Enoki Crispy,Burjo,"12,000",Hemat,Cemilan,Gorengan,"Tidak Pedas, Asin/Gurih",Makan Malam,
